sampleid	animal	Experiment_group
31753-k5	k5	Control
31753-k4	k4	Control
31753-k3	k3	Control
31753-k2	k2	Control
31753-k1	k1	Control
31753-30-30-10	30-30-10	30 mg/kg
31753-30-30-9	30-30-9	30 mg/kg
31753-30-30-8	30-30-8	30 mg/kg
31753-30-30-7	30-30-7	30 mg/kg
31753-30-30-6	30-30-6	30 mg/kg
31753-60-60-15	60-60-15	60 mg/kg
31753-60-60-14	60-60-14	60 mg/kg
31753-60-60-13	60-60-13	60 mg/kg
31753-60-60-12	60-60-12	60 mg/kg
31753-60-60-11	60-60-11	60 mg/kg
